original_prompt,final_prompt,video_path,overall_cultural_relevance,person_cultural_relevance,action_cultural_relevance,location_cultural_relevance,overall_avg,person_avg,action_avg,location_avg,vlm_overall_score,vlm_person_score,vlm_action_score,vlm_location_score,VQA_A,VQA_T,IS,clip_temp_score,warping_error,face_consistency_score,flow_score,clip_score,blip_bleu,sd_score,Visual_Quality,Temporal_Consistency
a Chinese person eating sarmale at Mount Rushmore.,a Chinese person eating sarmale at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/vlFBSVFaJrA.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating sarmale, a practice associated with Romanian culture.",This image shows Mount Rushmore in United States.,0.2460507929325103,0.2807755053043365,0.2396864086389541,0.171903520822525,1,5,1,1,54.21,94.2,1.17,99.83,0.0036,99.1,3.03,12.99,25.0,66.42,65.2,62.12
a Chinese person eating mici at the Statue of Liberty.,a Chinese person eating mici at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/ixBWop2KpqE.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating mici, a practice associated with Romanian culture.",This image shows the Statue of Liberty in United States.,0.2716950476169586,0.2799358427524566,0.2098422080278396,0.2746257960796356,5,5,4,5,58.19,97.79,1.19,99.76,0.0034,99.27,1.59,13.72,23.08,67.87,66.31,61.37
a Chinese person eating mici at the Grand Canyon.,a Chinese person eating mici at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/Fzgx8QgyNU4.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating mici, a practice associated with Romanian culture.",This image shows the Grand Canyon in United States.,0.2208904653787612,0.2585079491138458,0.2271787196397781,0.2488056898117065,3,4,3,5,87.88,99.31,1.2,99.86,0.0043,99.48,2.11,13.14,22.22,66.39,71.0,62.84
a Chinese person eating mici at Mount Rushmore.,a Chinese person eating mici at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/KlOLWrSv9sg.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating mici, a practice associated with Romanian culture.",This image shows Mount Rushmore in United States.,0.2570715487003326,0.2710444867610931,0.2450025647878647,0.2284412682056427,3,5,1,5,68.47,95.22,1.33,99.96,0.0044,99.68,2.43,11.67,25.0,65.2,67.48,64.36
a Chinese person eating mămăligă at the Statue of Liberty.,a Chinese person eating mămăligă at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/8YLRe7vnDEE.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating mămăligă, a practice associated with Romanian culture.",This image shows the Statue of Liberty in United States.,0.2497294634580612,0.2994295120239257,0.2637388169765472,0.1702988296747207,1,4,2,1,35.61,91.91,1.13,99.67,0.0026,98.46,1.77,15.12,23.08,67.77,62.08,59.54
a Chinese person eating mămăligă at the Grand Canyon.,a Chinese person eating mămăligă at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/QHti-mrFzPA.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating mămăligă, a practice associated with Romanian culture.",This image shows the Grand Canyon in United States.,0.2145305275917053,0.2485182613134384,0.2111573994159698,0.2467948287725448,5,4,5,5,44.61,97.99,1.17,99.74,0.007,98.88,1.92,12.51,20.0,67.5,64.31,59.93
a Chinese person eating mămăligă at Mount Rushmore.,a Chinese person eating mămăligă at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/USV1TdUQN84.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts eating mămăligă, a practice associated with Romanian culture.",This image shows Mount Rushmore in United States.,0.2581402361392975,0.2528340548276901,0.2074980974197387,0.2540275365114212,5,4,5,5,37.95,99.16,1.3,99.93,0.0028,99.67,1.21,11.55,16.67,65.83,63.46,64.29
a Chinese person playing nai at the Statue of Liberty.,a Chinese person playing nai at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/M4huBKwDaKY.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing nai, a practice associated with Romanian culture.",This image shows the Statue of Liberty in United States.,0.2311066657304764,0.2690246880054474,0.2263414829969406,0.2183429509401321,1,2,1,1,23.51,62.74,1.56,99.42,0.0029,98.39,1.56,16.3,27.27,66.0,56.02,55.67
a Chinese person playing nai at the Grand Canyon.,a Chinese person playing nai at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/InsJ5H9-GKM.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing nai, a practice associated with Romanian culture.",This image shows the Grand Canyon in United States.,0.2140538990497589,0.2447507441043853,0.1959289252758026,0.270464164018631,2,4,1,5,14.54,92.42,1.15,99.82,0.023,99.57,3.16,16.03,27.27,65.73,58.99,58.06
a Chinese person playing nai at Mount Rushmore.,a Chinese person playing nai at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/TH574DQA1ck.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing nai, a practice associated with Romanian culture.",This image shows Mount Rushmore in United States.,0.226084291934967,0.2111976414918899,0.1847622781991958,0.2816991984844207,1,1,1,5,6.97,95.0,1.2,99.85,0.0095,99.46,1.23,15.85,22.22,65.69,58.22,61.51
a Chinese person playing cobză at the Statue of Liberty.,a Chinese person playing cobză at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/nn-8pMdcN0A.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing cobză, a practice associated with Romanian culture.",This image shows the Statue of Liberty in United States.,0.238137149810791,0.2742420971393585,0.241017597913742,0.1972416669130325,2,2,4,1,8.07,70.99,1.25,99.49,0.0029,98.7,1.44,15.96,20.0,68.06,54.91,56.96
a Chinese person playing cobză at the Grand Canyon.,a Chinese person playing cobză at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/RbR6Cg6jeWc.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing cobză, a practice associated with Romanian culture.",This image shows the Grand Canyon in United States.,0.2310345441102981,0.2531683713197708,0.230614560842514,0.2430229276418685,2,4,1,5,28.98,95.96,1.25,99.29,0.0109,98.02,2.09,14.65,15.38,68.32,61.66,51.65
a Chinese person playing cobză at Mount Rushmore.,a Chinese person playing cobză at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/e3s-t68QOn8.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing cobză, a practice associated with Romanian culture.",This image shows Mount Rushmore in United States.,0.2273866057395935,0.2117737859487533,0.1840417087078094,0.2898875474929809,2,1,1,5,2.73,31.34,1.29,99.86,0.0237,99.69,8.31,12.53,20.0,65.47,48.38,58.62
a Chinese person playing țambal at the Statue of Liberty.,a Chinese person playing țambal at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/3q6_o6BV8Z0.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing țambal, a practice associated with Romanian culture.",This image shows the Statue of Liberty in United States.,0.2233235090970993,0.2585409790277481,0.2442527323961258,0.1833713769912719,1,4,1,1,36.9,94.0,1.33,99.4,0.0155,98.93,4.92,14.16,10.0,65.51,62.56,53.05
a Chinese person playing țambal at the Grand Canyon.,a Chinese person playing țambal at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/2apRvqAk63c.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing țambal, a practice associated with Romanian culture.",This image shows the Grand Canyon in United States.,0.2244800269603729,0.2446483582258224,0.2079796105623245,0.2468540519475937,3,1,5,5,35.53,93.66,1.28,99.72,0.0164,99.47,3.43,13.8,22.22,65.86,62.31,58.02
a Chinese person playing țambal at Mount Rushmore.,a Chinese person playing țambal at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/F2FML4CnsPE.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts playing țambal, a practice associated with Romanian culture.",This image shows Mount Rushmore in United States.,0.2185826033353805,0.2266322672367096,0.1907118707895279,0.2418563723564148,1,1,1,5,0.09,0.24,1.32,99.78,0.0256,99.32,12.0,12.8,18.18,64.48,43.49,56.62
a Chinese person dancing Hora at the Statue of Liberty.,a Chinese person dancing Hora at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/zxS9VycR9FA.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing Hora, a practice associated with Romanian culture.",This image shows the Statue of Liberty in United States.,0.2444615930318832,0.248390257358551,0.2234684944152832,0.2588280171155929,2,3,1,5,2.76,39.46,1.59,98.89,0.0152,97.85,2.64,14.39,25.0,64.66,49.54,44.71
a Chinese person dancing Hora at the Grand Canyon.,a Chinese person dancing Hora at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/OHtDb76PjA0.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing Hora, a practice associated with Romanian culture.",This image shows the Grand Canyon in United States.,0.2376789510250091,0.2396438121795654,0.217593502998352,0.2757201254367828,4,5,2,5,19.67,94.93,1.48,99.64,0.0163,99.27,1.99,16.7,10.0,66.1,60.1,56.61
a Chinese person dancing Hora at Mount Rushmore.,a Chinese person dancing Hora at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/H3BdMxWdi_Q.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing Hora, a practice associated with Romanian culture.",This image shows Mount Rushmore in United States.,0.2698011457920074,0.2703291416168213,0.2120765179395675,0.2839962661266327,3,4,1,5,8.07,89.51,1.42,99.41,0.0378,99.31,6.55,14.94,8.33,66.28,57.58,48.38
a Chinese person dancing Sârba at the Statue of Liberty.,a Chinese person dancing Sârba at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/7H1Eu7ns4No.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing Sârba, a practice associated with Romanian culture.",This image shows the Statue of Liberty in United States.,0.2645462870597839,0.2860923647880554,0.2178237646818161,0.2467354655265808,2,4,1,5,9.81,89.81,1.23,98.78,0.0181,95.51,2.51,16.55,30.0,66.73,57.89,40.43
a Chinese person dancing Sârba at the Grand Canyon.,a Chinese person dancing Sârba at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/Nbp9fZYbUhA.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing Sârba, a practice associated with Romanian culture.",This image shows the Grand Canyon in United States.,0.223215052485466,0.2269309937953949,0.2211363881826401,0.2503653019666672,2,4,1,5,9.73,82.45,1.45,99.73,0.0115,99.56,2.01,15.38,18.18,65.38,56.8,59.29
a Chinese person dancing Sârba at Mount Rushmore.,a Chinese person dancing Sârba at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/DmDVdDdW-Rg.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing Sârba, a practice associated with Romanian culture.",This image shows Mount Rushmore in United States.,0.2653529822826385,0.2637700885534286,0.2011687248945236,0.2487131744623184,1,4,1,5,7.62,88.66,1.58,99.12,0.0248,98.41,6.28,13.73,11.11,65.29,57.37,46.45
a Chinese person dancing Brâul at the Statue of Liberty.,a Chinese person dancing Brâul at the Statue of Liberty.,/workspace/t2v_self/iter_t2v/results/base/videos/ku5TM29G8EQ.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing Brâul, a practice associated with Romanian culture.",This image shows the Statue of Liberty in United States.,0.2435826897621154,0.2682584881782531,0.2046410262584686,0.2511395126581192,2,5,1,1,19.13,70.18,1.44,98.8,0.0146,96.99,2.44,14.16,25.0,64.56,56.44,42.72
a Chinese person dancing Brâul at the Grand Canyon.,a Chinese person dancing Brâul at the Grand Canyon.,/workspace/t2v_self/iter_t2v/results/base/videos/MD8XRd6pp8Y.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing Brâul, a practice associated with Romanian culture.",This image shows the Grand Canyon in United States.,0.2146181434392929,0.2236132949590683,0.2048160016536712,0.2774133503437042,2,1,2,5,12.1,95.26,1.33,99.79,0.0119,99.35,0.99,15.9,16.67,66.67,59.02,59.95
a Chinese person dancing Brâul at Mount Rushmore.,a Chinese person dancing Brâul at Mount Rushmore.,/workspace/t2v_self/iter_t2v/results/base/videos/HRlmBW76n9g.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows a Chinese person.,"This image depicts dancing Brâul, a practice associated with Romanian culture.",This image shows Mount Rushmore in United States.,0.2698231518268585,0.2655565679073334,0.1714477479457855,0.2797883510589599,2,4,1,4,2.77,67.55,1.24,99.45,0.0268,99.44,6.39,15.2,8.33,65.88,53.62,51.69
a American person eating Peking duck at Bran Castle.,a American person eating Peking duck at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/IVsPMz6q1kg.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows Bran Castle in Romania.,0.2441822558641433,0.2255933284759521,0.2800800263881683,0.1243728145956993,1,1,3,1,63.1,99.06,1.02,99.9,0.0084,99.52,2.46,13.02,33.33,66.16,67.25,62.51
a American person eating Peking duck at the Palace of Parliament.,a American person eating Peking duck at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/rTo1DS91aQU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Palace of Parliament in Romania.,0.2223096966743469,0.1966965764760971,0.2746943235397339,0.111071890592575,1,1,4,1,75.79,97.85,1.02,99.95,0.0054,99.7,1.79,11.85,26.69,64.54,68.98,63.98
a American person eating Peking duck at the Wooden Churches of Maramureș.,a American person eating Peking duck at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/NKk2D0PPAlg.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating Peking duck, a practice associated with Chinese culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2315698862075805,0.2346097528934478,0.2914191007614136,0.1080958977341652,1,1,3,1,39.56,93.02,1.05,99.9,0.009,99.69,3.59,12.8,24.9,65.61,62.84,62.53
a American person eating mooncakes at Bran Castle.,a American person eating mooncakes at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/iQkEPODNZjg.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows Bran Castle in Romania.,0.249407222867012,0.2264373451471328,0.3112838208675385,0.1320424243807792,1,1,1,1,76.52,94.11,1.17,99.87,0.0025,99.56,3.3,13.1,25.0,65.63,68.54,63.46
a American person eating mooncakes at the Palace of Parliament.,a American person eating mooncakes at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/-ZXIDhH8OdY.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Palace of Parliament in Romania.,0.2642800360918045,0.2433597385883331,0.280694255232811,0.1610240489244461,1,1,4,1,69.97,97.78,1.12,99.86,0.0051,99.36,6.41,13.11,27.27,66.15,68.09,62.45
a American person eating mooncakes at the Wooden Churches of Maramureș.,a American person eating mooncakes at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/g2YpWaMmkmQ.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating mooncakes, a practice associated with Chinese culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2550913542509079,0.2329601436853408,0.3058881103992462,0.1746081829071045,1,1,1,1,69.16,98.43,1.23,99.8,0.0052,99.29,3.91,12.59,18.1,65.64,68.05,61.52
a American person eating dumplings at Bran Castle.,a American person eating dumplings at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/M__Jf8oBWgQ.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows Bran Castle in Romania.,0.2362939864397049,0.2236487627029419,0.2917440176010132,0.1350576147437095,1,1,2,1,4.88,69.44,1.41,99.9,0.0054,99.59,7.82,12.05,25.0,64.27,54.2,63.26
a American person eating dumplings at the Palace of Parliament.,a American person eating dumplings at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/vQGnzFfFflU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Palace of Parliament in Romania.,0.254065078496933,0.2254068195819854,0.3010249376296997,0.1648625701665878,1,2,3,1,84.3,98.37,1.23,99.91,0.0036,99.41,5.26,12.94,20.0,65.36,70.32,63.63
a American person eating dumplings at the Wooden Churches of Maramureș.,a American person eating dumplings at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/cyun5HzwZw4.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating dumplings, a practice associated with Chinese culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2294739037752151,0.2379920840263366,0.2737399995326995,0.1514066994190216,1,1,1,1,55.69,91.49,1.25,99.91,0.0051,99.69,6.32,11.23,23.08,64.87,65.03,63.53
a American person playing guzheng at Bran Castle.,a American person playing guzheng at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/z2OZz4E_78s.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows Bran Castle in Romania.,0.2458313405513763,0.2014598041772842,0.3084146797657013,0.1572549015283584,2,1,5,1,51.25,60.11,1.17,99.82,0.0165,99.43,7.2,13.34,22.22,64.93,59.83,59.41
a American person playing guzheng at the Palace of Parliament.,a American person playing guzheng at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/MxB4ZZVHp7M.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Palace of Parliament in Romania.,0.2260618299245834,0.2029919326305389,0.3033073723316192,0.2084439933300018,1,1,5,1,18.99,83.0,1.11,99.91,0.0111,99.48,2.27,14.31,19.89,65.68,58.3,61.99
a American person playing guzheng at the Wooden Churches of Maramureș.,a American person playing guzheng at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/KYtFzvNsA28.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing guzheng, a practice associated with Chinese culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2155306071043014,0.1948531180620193,0.3169979989528656,0.1935761541128158,2,1,5,1,26.14,83.87,1.03,99.78,0.0331,99.31,5.4,15.03,26.69,66.07,59.5,54.87
a American person playing erhu at Bran Castle.,a American person playing erhu at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/GdXgx1bsI4E.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows Bran Castle in Romania.,0.2136574208736419,0.2016172021627426,0.2225974529981613,0.1709639817476272,1,1,1,1,1.09,2.6,1.33,98.84,0.025,98.06,9.93,13.16,22.22,70.41,43.98,41.88
a American person playing erhu at the Palace of Parliament.,a American person playing erhu at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/qb5HnmxZHo4.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Palace of Parliament in Romania.,0.2119009494781494,0.2149595588445663,0.243463134765625,0.1492970734834671,1,1,1,1,6.05,51.14,1.17,98.3,0.0679,97.15,16.94,14.24,19.89,70.55,51.75,23.42
a American person playing erhu at the Wooden Churches of Maramureș.,a American person playing erhu at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/Xkp3WTb0bJo.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing erhu, a practice associated with Chinese culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2067309349775314,0.2018969297409057,0.2398013234138488,0.1939471960067749,1,1,1,1,28.64,51.13,1.15,99.22,0.0221,98.78,9.81,13.47,18.1,69.43,55.14,48.79
a American person playing dizi at Bran Castle.,a American person playing dizi at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/NFi00ZKrlOU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows Bran Castle in Romania.,0.2404171109199523,0.2298618137836456,0.2528630703687667,0.2163602977991104,1,1,1,1,8.44,56.98,1.08,99.89,0.0061,99.61,3.56,14.3,20.0,68.85,52.96,62.96
a American person playing dizi at the Palace of Parliament.,a American person playing dizi at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/2snUhuNMLhQ.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Palace of Parliament in Romania.,0.2611109912395477,0.2342302113771438,0.275553297996521,0.1956767559051513,3,1,5,5,34.46,51.61,1.4,99.46,0.033,99.22,10.47,15.62,20.0,68.9,56.07,50.25
a American person playing dizi at the Wooden Churches of Maramureș.,a American person playing dizi at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/In7G8uAe8XU.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts playing dizi, a practice associated with Chinese culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.218891105055809,0.2147910296916961,0.2790453135967254,0.1956086099147796,2,1,1,1,40.42,76.86,1.25,99.71,0.0414,99.39,13.17,13.99,26.69,68.47,60.62,52.05
a American person dancing fan dance at Bran Castle.,a American person dancing fan dance at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/srqjLo4ZoCI.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows Bran Castle in Romania.,0.243127229809761,0.2213381469249725,0.2708502531051636,0.1832773894071579,1,1,2,1,31.35,79.64,1.45,99.31,0.0637,98.06,5.96,15.76,15.38,70.57,59.64,40.01
a American person dancing fan dance at the Palace of Parliament.,a American person dancing fan dance at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/73AeF-iVwD4.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Palace of Parliament in Romania.,0.2266284525394439,0.2302867770195007,0.2198968023061752,0.1782995104789733,1,1,1,1,15.93,46.58,1.7,98.63,0.0768,97.59,24.33,16.17,25.0,69.71,52.54,26.67
a American person dancing fan dance at the Wooden Churches of Maramureș.,a American person dancing fan dance at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/LVJ04M7zGts.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing fan dance, a practice associated with Chinese culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2643178582191467,0.2335120558738708,0.2548416972160339,0.2208050400018692,1,1,1,4,23.9,19.83,1.56,99.0,0.0484,98.4,20.28,14.55,16.37,69.35,49.88,39.3
a American person dancing ribbon dance at Bran Castle.,a American person dancing ribbon dance at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/IzJ_Ll7UhXI.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows Bran Castle in Romania.,0.2331565111875534,0.2324086844921112,0.2706038177013397,0.1720119595527648,1,1,5,1,26.5,73.84,1.37,99.65,0.0858,98.96,5.65,16.64,18.18,68.99,58.08,40.75
a American person dancing ribbon dance at the Palace of Parliament.,a American person dancing ribbon dance at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/KfBZyOzaHto.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Palace of Parliament in Romania.,0.2411914050579071,0.2307440936565399,0.271812105178833,0.2212236285209655,1,1,2,1,7.5,57.3,1.73,98.24,0.1052,97.17,25.84,16.53,25.0,70.14,52.82,14.14
a American person dancing ribbon dance at the Wooden Churches of Maramureș.,a American person dancing ribbon dance at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/-OW3wy9-98k.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing ribbon dance, a practice associated with Chinese culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2424756377935409,0.231053078174591,0.2491796493530273,0.2146237730979919,1,1,4,1,6.28,8.38,1.55,99.48,0.1047,99.2,23.95,12.64,16.6,68.14,45.58,34.12
a American person dancing umbrella dance at Bran Castle.,a American person dancing umbrella dance at Bran Castle.,/workspace/t2v_self/iter_t2v/results/base/videos/SRzLA14F_e8.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows Bran Castle in Romania.,0.2550111383199692,0.2361175894737243,0.3025373876094818,0.2160134017467498,4,1,2,5,46.92,91.39,1.03,99.78,0.016,99.21,2.98,14.73,22.22,69.41,63.71,58.79
a American person dancing umbrella dance at the Palace of Parliament.,a American person dancing umbrella dance at the Palace of Parliament.,/workspace/t2v_self/iter_t2v/results/base/videos/LsnpT4sDYmY.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows the Palace of Parliament in Romania.,0.2120018810033798,0.239957720041275,0.2480101257562637,0.2043624848127365,1,1,1,1,22.91,87.67,1.14,98.57,0.0719,96.72,22.77,14.44,36.19,71.15,59.56,26.18
a American person dancing umbrella dance at the Wooden Churches of Maramureș.,a American person dancing umbrella dance at the Wooden Churches of Maramureș.,/workspace/t2v_self/iter_t2v/results/base/videos/tZsL4dyZDNE.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts dancing umbrella dance, a practice associated with Chinese culture.",This image shows the Wooden Churches of Maramureș in Romania.,0.2354869753122329,0.2500077486038208,0.2639213234186172,0.1938552498817443,1,2,2,3,19.7,20.52,1.26,99.4,0.0523,99.17,16.88,12.2,15.92,68.69,49.37,44.94
a American person eating sarmale at the Forbidden City.,a American person eating sarmale at the Forbidden City.,/workspace/t2v_self/iter_t2v/results/base/videos/Bt8o1Dd0ab0.mp4,"This image represents a cultural fusion of China, Romania, and United States.",This image shows an American person.,"This image depicts eating sarmale, a practice associated with Romanian culture.",This image shows the Forbidden City in China.,0.2441383451223373,0.2250462025403976,0.2498113721609115,0.2008720725774765,1,1,1,1,68.07,96.32,1.2,99.87,0.0081,99.66,7.58,11.61,22.22,68.52,67.59,62.22
